Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
T Cell IL7R,TCM_STMN1,CD4,1409,0.048261178,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5969,0.06550511,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1176,0.078231293,CD8 T Cell TRBV4-2_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1746,0.09908362,Macrophage LST1_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1323,0.076341648,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4996,0.0632506,Macrophage LST1_high Liver
T Cell GZMK,Th1_NKG7,CD4,1972,0.06693712,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2603,0.070687668,Monocyte Liver
Monocyte,Mac_SDC3,Myeloid,2483,0.040676601,Macrophage C1QB_high Liver
NK/T Cell GNLY,TEFF_MT1E,CD8,1502,0.073235686,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6278,0.058617394,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1031,0.07371484,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2403,0.061173533,Monocyte Liver
Monocyte,Classical_Mon_S100A12,Myeloid,4862,0.090909091,Monocyte Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2100,0.064761905,Monocyte Liver
T Cell IL7R,TRM_TNF,CD4,1510,0.039072848,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7171,0.097336494,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1638,0.066544567,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,1636,0.061735941,T GD Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1888,0.101165254,Monocyte Liver
T Cell GZMK,NA,NA,2798,0.042887777,T GD Cell Liver
T Cell GZMK,TRM_H2AFZ,CD8,2978,0.073203492,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9453,0.060192531,Macrophage C1QB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,7094,0.043980829,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,1609,0.051584835,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1660,0.052409639,NK/T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2876,0.068150209,Monocyte Liver
T Cell GZMK,NA,NA,5884,0.045887152,High Proliferation CD8 T Cell Liver
T Cell GZMK,NA,NA,1471,0.05846363,T GD Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5159,0.08315565,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1153,0.073720729,Monocyte Liver
Lymphatic Endothelial Cell,Mac_FTL,Myeloid,1270,7.87402e-4,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2402,0.089092423,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1800,0.101666667,Monocyte Liver
T Cell XCL1,TN/CM_KLF2,CD8,4191,0.050345979,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1934,0.036711479,NK/T Cell Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,6538,0.070204956,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6290,0.072496025,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1698,0.074793875,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,1637,0.051313378,NK/T Cell Liver
NK/T Cell GNLY,Th1_NKG7,CD4,1525,0.060327869,NK/T Cell Liver
T Cell GZMK,NA,NA,1712,0.069509346,T GD Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,1327,0.061793519,Endothelial Cell SELE_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5499,0.10074559,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1726,0.050984936,NK/T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1933,0.076047594,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6442,0.069077926,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2660,0.077819549,Macrophage LST1_high Liver
T Cell IL7R,TN_LINC00861,CD4,2590,0.04015444,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4546,0.065112187,Macrophage LST1_high Liver
Monocyte,Mac_SDC3,Myeloid,3667,0.105263158,Monocyte Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,1026,0.004873294,Endothelial Cell SLC9A3R2_high Liver
T Cell IL7R,TN/CM_ITGB1,CD4,1515,0.050165017,T Cell LTB_high Liver
T Cell XCL1,TRM_H2AFZ,CD8,3143,0.027362393,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9192,0.070822454,Macrophage C1QB_high Liver
Smooth Muscle Cell,Smo_MYH11_high,FibSmo,4295,0.027473807,Smooth Muscle Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5401,0.049805592,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1887,0.089030207,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SPP1,Myeloid,2697,0.08045977,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1785,0.081232493,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,1753,0.123217342,T GD Cell Liver
Monocyte,Mac_SDC3,Myeloid,2713,0.102469591,Macrophage LST1_high Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,5005,0.026973027,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TEM_INFG,CD8,1477,0.043331077,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,11979,0.048084147,High Proliferation CD8 T Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4961,0.096553114,Macrophage LST1_high Liver
T Cell IL7R,TRM_TNF,CD4,2019,0.040118871,T Cell LTB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1388,0.051152738,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4104,0.072368421,Lymphatic Endothelial Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,10318,0.044291529,Hepatic Oval Cell Liver
NK/T Cell GNLY,TEFF_MT1E,CD8,2139,0.048620851,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4046,0.052644587,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3353,0.096033403,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1450,0.059310345,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3294,0.07346691,Macrophage LST1_high Liver
B Cell CD79A,Naive_B_ly_TCL1A,B_and_plasma,1403,0.069137562,B Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,1916,0.05480167,Endothelial Cell SELE_high Liver
T Cell XCL1,TRM_HSPA1A,CD8,1569,0.089228808,CD8 T Cell GZMK_high Liver
T Cell XCL1,TEFF_MT1E,CD8,2026,0.033070089,T Cell MT1E_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6989,0.032908857,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3121,0.084588273,Monocyte Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,4287,0.052017728,Smooth Muscle Cell Liver
T Cell XCL1,TEM_GZMK,CD8,1963,0.028018339,CD8 T Cell GZMK_high Liver
T Cell XCL1,TEM_INFG,CD8,1079,0.050046339,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9452,0.044964029,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7162,0.068556269,Macrophage C1QB_high Liver
T Cell XCL1,TN_LINC00861,CD4,1754,0.205815279,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1146,0.079406632,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,2044,0.054305284,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3502,0.079668761,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3403,0.072583015,Monocyte Liver
NK/T Cell GNLY,NA,NA,1475,0.088813559,NK/T Cell Liver
Macrophage C1QB,NA,NA,1758,0.062002275,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,1310,0.096183206,T Cell LTB_high Liver
T Cell IL7R,TRM_TNF,CD4,2799,0.035727045,T Cell LTB_high Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,1840,0.02173913,Endothelial Cell SLC9A3R2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1198,0.126043406,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5634,0.038161164,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6635,0.044611907,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SPP1,Myeloid,11503,0.050595497,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5727,0.056399511,Macrophage LST1_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,7439,0.047587041,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,1707,0.042179262,CD8 T Cell GZMK_high Liver
T Cell IL7R,TN/CM_ITGB1,CD4,1408,0.029119318,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2188,0.044332724,Monocyte Liver
T Cell XCL1,TEM_INFG,CD8,1588,0.080604534,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,3316,0.101628468,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3741,0.072440524,Monocyte Liver
NK/T Cell GNLY,NA,NA,1302,0.044546851,NK/T Cell Liver
T Cell XCL1,TRM_H2AFZ,CD8,1249,0.105684548,CD8 T Cell GZMK_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1738,0.045454545,B Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1529,0.034009156,Lymphatic Endothelial Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,6189,0.113750202,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,1827,0.047619048,CD8 T Cell GZMK_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6188,0.063671622,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3015,0.068988391,Monocyte Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,1403,0.218816821,Hepatic Oval Cell Liver
T Cell GZMK,TEM_GZMK,CD8,1847,0.051434759,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2509,0.092467118,Macrophage LST1_high Liver
T Cell GZMK,TEFF_MT1E,CD8,2308,0.04202773,NK/T Cell Liver
Melanocyte,BEC_APOC1,Endothelial_cell,2147,0.10992082,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Mac_SPARCL1,Myeloid,5253,0.0683419,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1897,0.032156036,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5643,0.08825093,Macrophage LST1_high Liver
NK/T Cell GNLY,NA,NA,2487,0.072376357,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1366,0.092240117,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4206,0.070851165,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3162,0.074003795,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,2957,0.059857964,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3784,0.074260042,Monocyte Liver
T Cell GZMK,TRM_TYMS,CD8,6165,0.03406326,High Proliferation CD8 T Cell Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1391,0.071890726,CD8 T Cell TRBV4-2_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6321,0.031007752,Lymphatic Endothelial Cell Liver
T Cell IL7R,TRM_TNF,CD4,2272,0.055017606,T Cell LTB_high Liver
Smooth Muscle Cell,Smo_MYH11_high,FibSmo,3975,0.036477987,Smooth Muscle Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6114,0.07883546,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,4936,0.074959481,Monocyte Liver
T Cell XCL1,TN/CM_GADD45B,CD8,1132,0.092756184,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3629,0.058142739,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1249,0.088070456,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1333,0.057764441,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,4133,0.050326639,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,2244,0.055258467,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4248,0.037193974,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1922,0.056711759,CD8 T Cell TRBV4-2_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3288,0.130778589,Lymphatic Endothelial Cell Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,4685,0.014727855,Endothelial Cell SLC9A3R2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4172,0.077420901,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_FTL,Myeloid,1168,8.56164e-4,Macrophage C1QB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1301,0.108378171,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1971,0.064434297,Monocyte Liver
Macrophage FCN3,BEC_IGFBP3,Endothelial_cell,2139,0.086489014,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TRM_GZMB,CD8,2683,0.062989191,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,3036,0.055006588,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1168,0.069349315,CD8 T Cell GZMK_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,5175,0.147826087,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,6543,0.087421672,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3162,0.054079696,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5396,0.080615271,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2116,0.064272212,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1771,0.102202146,Monocyte Liver
NK/T Cell GNLY,NA,NA,2194,0.022789426,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6925,0.05299639,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3885,0.062290862,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1291,0.088303641,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3299,0.135495605,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3089,0.094852703,Endothelial Cell SELE_high Liver
T Cell GZMK,NA,NA,2223,0.034637877,T GD Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2606,0.073676132,Monocyte Liver
NK/T Cell GNLY,NA,NA,1240,0.050806452,NK/T Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6916,0.028195489,Lymphatic Endothelial Cell Liver
B Cell CD79A,Naive_B_ly_TCL1A,B_and_plasma,1686,0.036773428,B Cell Liver
T Cell GZMK,TEM_INFG,CD8,1333,0.046511628,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1661,0.08308248,Macrophage C1QB_high Liver
T Cell IL7R,TRM_TNF,CD4,3569,0.053516391,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3534,0.106960951,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5197,0.070425245,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5714,0.043577179,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1787,0.071628428,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1808,0.051438053,NK/T Cell Liver
T Cell XCL1,TRM_TNF,CD4,1884,0.055732484,T Cell LTB_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1803,0.041042707,B Cell Liver
Macrophage C1QB,Mac_SPP1,Myeloid,9071,0.051372506,Macrophage C1QB_high Liver
T Cell IL7R,TN/CM_LEF1,CD8,2179,0.061037173,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5569,0.06554139,Monocyte Liver
T Cell XCL1,TEFF_MT1E,CD8,2535,0.028796844,T Cell MT1E_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1466,0.064120055,CD8 T Cell TRBV4-2_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,11587,0.159402779,Hepatic Oval Cell Liver
T Cell GZMK,TEM_INFG,CD8,1099,0.057324841,CD8 T Cell GZMK_high Liver
Lymphatic Endothelial Cell,LEC_CCL21,Endothelial_cell,4559,0.014915552,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3954,0.046029337,Macrophage LST1_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4569,0.095863427,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,1901,0.035244608,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Non_Classicial_Mon_FCGR3A,Myeloid,7522,0.057564478,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,10014,0.048532055,Macrophage C1QB_high Liver
Macrophage C1QB,cDC2,Myeloid,1450,0.227586207,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2198,0.076433121,Macrophage C1QB_high Liver
T Cell XCL1,TRM_TNF,CD4,1653,0.036297641,T Cell LTB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2973,0.066599395,T Cell LTB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5636,0.04648687,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2818,0.046132009,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3021,0.07878186,Monocyte Liver
Endothelial Cell ACKR1,BEC_PRSS23,Endothelial_cell,7555,0.025943084,Endothelial Cell SLC9A3R2_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3331,0.042930051,Lymphatic Endothelial Cell Liver
B Cell CD79A,Memory_B_LTB,B_and_plasma,2514,0.054097056,B Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,3817,0.055541001,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1584,0.066919192,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,2084,0.034548944,NK/T Cell Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1431,0.051712089,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3305,0.107413011,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3126,0.06621881,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1384,0.11632948,Macrophage LST1_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,4504,0.076154529,Hepatic Oval Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2128,0.041353383,T Cell LTB_high Liver
T Cell XCL1,TEM_GZMK,CD8,1837,0.098530212,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,2401,0.035818409,NK/T Cell Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1591,0.04902577,Endothelial Cell SELE_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4721,0.065664054,Macrophage C1QB_high Liver
T Cell XCL1,TRM_MT1E,CD4,1875,0.032,T Cell MT1E_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4129,0.025914265,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1808,0.036504425,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1541,0.071382219,NK/T Cell Liver
Macrophage FCN3,BEC_CA4,Endothelial_cell,3238,0.055281038,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2423,0.124638877,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5154,0.031431898,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1093,0.07136322,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,1529,0.064748201,T GD Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2389,0.05734617,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2710,0.038745387,Macrophage LST1_high Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,2553,0.096357227,Monocyte Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2309,0.075790385,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TEM_INFG,CD8,1453,0.075017206,CD8 T Cell GZMK_high Liver
T Cell XCL1,TRM_H2AFZ,CD8,2423,0.16632274,CD8 T Cell GZMK_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,2650,0.086415094,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2557,0.078607743,Monocyte Liver
T Cell GZMK,Th1_NKG7,CD4,1457,0.048043926,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1782,0.051627385,Monocyte Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,1688,0.127369668,Hepatic Oval Cell Liver
Endothelial Cell ACKR1,BEC_TNFRSF4,Endothelial_cell,5701,0.01210314,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TEM_INFG,CD8,1577,0.057704502,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1657,0.063367532,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1483,0.234659474,Monocyte Liver
Monocyte,Classical_Mon_S100A12,Myeloid,4254,0.06629055,Monocyte Liver
T Cell GZMK,TEM_GIMAP4,CD8,1927,0.032693306,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7606,0.105837497,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7303,0.057921402,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1591,0.050282841,CD8 T Cell TRBV4-2_high Liver
T Cell IL7R,TRM_TNF,CD4,1580,0.049367089,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,2207,0.039873131,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,2147,0.055891942,CD8 T Cell TRBV4-2_high Liver
T Cell XCL1,TEM_INFG,CD8,1996,0.028056112,CD8 T Cell GZMK_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2954,0.003723764,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,6653,0.056215241,Monocyte Liver
T Cell XCL1,MAIT_SLC4A10,CD8,3154,0.022828155,T Cell LTB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5235,0.029226361,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2972,0.047442799,Monocyte Liver
Monocyte,Memory_B_LTB,B_and_plasma,1742,0.110792193,B Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,3152,0.060913706,T Cell LTB_high Liver
T Cell GZMK,NA,NA,4515,0.100110742,T GD Cell Liver
T Cell IL7R,TN/CM_ITGB1,CD4,1539,0.055880442,T Cell LTB_high Liver
NK/T Cell GNLY,Th1_NKG7,CD4,1436,0.052924791,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1512,0.046957672,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5330,0.061350844,Macrophage LST1_high Liver
T Cell XCL1,TEFF_MT1E,CD8,2650,0.028679245,T Cell MT1E_high Liver
T Cell IL7R,TN/CM_LEF1,CD8,3031,0.048168921,T Cell LTB_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,5084,0.077694729,Hepatic Oval Cell Liver
NK/T Cell GNLY,NA,NA,1839,0.053289831,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8818,0.060217736,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1194,0.047738693,CD8 T Cell TRBV4-2_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,13341,0.057716813,Lymphatic Endothelial Cell Liver
Macrophage FCN3,BEC_CA4,Endothelial_cell,4114,0.04691298,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TEM_INFG,CD8,1587,0.060491493,CD8 T Cell GZMK_high Liver
T Cell IL7R,TRM_TNF,CD4,2116,0.0463138,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1698,0.074204947,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1385,0.085920578,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,2050,0.037560976,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,TEFF_MT1E,CD8,1733,0.050778996,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4550,0.041978022,Lymphatic Endothelial Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,7745,0.098127824,Hepatic Oval Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4762,0.044099118,Macrophage C1QB_high Liver
T Cell GZMK,TEFF_MT1E,CD8,1423,0.041461701,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6417,0.07791803,Macrophage C1QB_high Liver
Monocyte,Mac_SDC3,Myeloid,4700,0.047234043,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SPP1,Myeloid,11601,0.052150677,Macrophage C1QB_high Liver
NK/T Cell GNLY,TEFF_GNLY,CD8,2174,0.047838086,NK/T Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,1902,0.148790747,Hepatic Oval Cell Liver
NK/T Cell GNLY,NA,NA,1055,0.038862559,NK/T Cell Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,2438,0.065627564,B Cell Liver
T Cell GZMK,TEM_GZMK,CD8,2634,0.064160972,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,3131,0.036729479,NK/T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5938,0.067362748,Macrophage LST1_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,2257,0.105006646,Endothelial Cell SELE_high Liver
