Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
Macrophage C1QB,Mac_SDC3,Myeloid,5076,0.068951931,Macrophage C1QB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,4114,0.047399125,T Cell LTB_high Liver
B Cell CD79A,Plasma_IGKV3-20,B_and_plasma,1621,0.085749537,B Cell Liver
T Cell GZMK,NA,NA,2039,0.05443845,T GD Cell Liver
Monocyte,Intermediate_Mon_FN1,Myeloid,1265,0.090909091,Macrophage LST1_high Liver
T Cell GZMK,NA,NA,3015,0.036484245,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3748,0.093383138,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,3194,0.073888541,CD8 T Cell GZMK_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2573,0.045472211,T Cell LTB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,7326,0.031122031,Lymphatic Endothelial Cell Liver
NK/T Cell GNLY,NA,NA,2314,0.038029386,NK/T Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,1089,0.086317723,T GD Cell Liver
Smooth Muscle Cell,Fib_PTN_high,FibSmo,3008,0.153590426,Smooth Muscle Cell Liver
T Cell GZMK,NA,NA,3867,0.051978278,T GD Cell Liver
T Cell GZMK,TEFF_MT1E,CD8,1670,0.040718563,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5169,0.069065583,Macrophage C1QB_high Liver
T Cell GZMK,TEFF_MT1E,CD8,1789,0.054220235,CD8 T Cell GZMK_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5336,0.045727136,Lymphatic Endothelial Cell Liver
T Cell XCL1,TEM_INFG,CD8,1124,0.040035587,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SPP1,Myeloid,4609,0.052072033,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3616,0.07715708,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_INFG,CD8,1640,0.068902439,CD8 T Cell TRBV4-2_high Liver
T Cell XCL1,TRM_H2AFZ,CD8,2191,0.059333638,T Cell LTB_high Liver
T Cell GZMK,TEFF_GNLY,CD8,2074,0.094021215,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,3007,0.045892917,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4695,0.044089457,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,6181,0.057595858,Monocyte Liver
T Cell GZMK,NA,NA,2514,0.067621321,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1987,0.07951686,NK/T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2858,0.061581526,Monocyte Liver
B Cell CD79A,Memory_B_CRIP1,B_and_plasma,1733,0.07270629,B Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2940,0.081972789,Macrophage C1QB_high Liver
T Cell GZMK,TRM_TYMS,CD8,2158,0.058850788,T GD Cell Liver
Monocyte,Mac_SDC3,Myeloid,7321,0.071301735,Macrophage LST1_high Liver
T Cell GZMK,NA,NA,2786,0.059583632,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4689,0.064406057,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4326,0.087609801,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1424,0.08005618,CD8 T Cell GZMK_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4422,0.02238806,Endothelial Cell SELE_high Liver
T Cell IL7R,TRM_TNF,CD4,1345,0.071375465,T Cell LTB_high Liver
T Cell XCL1,TCM_STMN1,CD4,1135,0.108370044,T Cell LTB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,3598,0.076709283,T GD Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2744,0.086005831,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5320,0.054887218,Monocyte Liver
T Cell XCL1,TEM_INFG,CD8,1318,0.049317147,T Cell LTB_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,2860,0.154195804,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1273,0.070699136,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1271,0.062942565,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1980,0.038383838000000003,CD8 T Cell TRBV4-2_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,2288,0.149912587,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1212,0.072607261,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4021,0.057448396,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,1157,0.076923077,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,2316,0.034110535,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1023,0.063538612,Macrophage C1QB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2532,0.031990521,CD8 T Cell TRBV4-2_high Liver
T Cell IL7R,TN/CM_GADD45B,CD8,2634,0.049734244,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7527,0.037863691,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4733,0.048383689,Lymphatic Endothelial Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1384,0.070086705,Lymphatic Endothelial Cell Liver
T Cell IL7R,NA,NA,1704,0.015258216,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2237,0.060348681,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,1983,0.055975794,T GD Cell Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2784,0.03125,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5237,0.086499905,Macrophage C1QB_high Liver
