SYMBOL,baseMean,log2FoldChange,pvalue,padj
GHITM,406.2249187,0.340670675,0.998891764,2.60577E-09
MINK1,406.2312636,-0.241845353,0.984506203,2.60577E-09
RLF,406.5099529,-0.299808557,0.953655798,2.60577E-09
AKAP8,406.5880445,0.144700883,0.999997199,2.60577E-09
PTPN1,406.8504023,0.031862775,0.999997885,2.60577E-09
NPIPB3,407.8743997,-0.276524496,0.970996575,2.60577E-09
CSNK1G3,407.9446716,-0.562451942,0.817883225,2.60577E-09
ARID4A,408.19474,0.026727314,0.998763861,2.60577E-09
RPL35,408.2667057,-0.334973746,0.935920726,2.60577E-09
ZNF652,409.1068921,0.36862755,0.988555703,2.60577E-09
DUS1L,409.2337841,0.197423149,0.994371219,2.60577E-09
SNHG14,409.5192842,-0.019839755,0.999850389,2.60577E-09
SMG7,409.7081218,-0.026029457,0.999904687,2.60577E-09
FOXO1,409.7206053,-0.903914548,0.576880015,2.60577E-09
NAMPT,409.9345658,-0.091524729,0.979500516,2.60577E-09
ZC3H18,410.3309074,-0.014726052,0.999543313,2.60577E-09
SS18,410.4557501,-0.778624893,0.638635845,2.60577E-09
HEXIM1,410.4934788,0.848170819,0.673349171,2.60577E-09
THOC2,410.6870461,0.110039839,0.99999676,2.60577E-09
RIPK1,410.7519831,-0.204621591,0.999442165,2.60577E-09
RC3H2,410.9006411,-0.082360435,0.99541746,2.60577E-09
STK26,410.9310435,-0.106298058,0.999559449,2.60577E-09
MSI2,411.027598,-0.022678465,0.996923074,2.60577E-09
TCOF1,411.5281188,-0.179037605,0.999230992,2.60577E-09
UBE2H,411.987077,0.38833542,0.972733023,2.60577E-09
PTPN22,412.269353,0.399600485,0.979304053,2.60577E-09
VPS39,412.3461141,0.086062633,0.999337272,2.60577E-09
FOXJ3,412.4482957,-0.313566614,0.999448483,2.60577E-09
MOV10,412.5831809,0.71565788,0.876107444,2.60577E-09
ACAP2,412.9063126,0.584919151,0.840187908,2.60577E-09
CRTC3,412.965558,0.202457653,0.999995614,2.60577E-09
ARAF,413.025823,0.143796456,0.999888953,2.60577E-09
DGKA,413.4392126,-0.263466867,0.894148921,2.60577E-09
CAPN1,413.9472039,0.22088283,0.989242736,2.60577E-09
TRIM56,414.2452602,-0.132537963,0.994389756,2.60577E-09
MGAT4A,414.291107,0.033593961,0.996199989,2.60577E-09
WDTC1,414.5672605,0.422189571,0.942378298,2.60577E-09
BTF3,414.5868505,-0.679821862,0.788843085,2.60577E-09
LMF2,414.6600286,0.11721881,0.99967009,2.60577E-09
AGO2,415.1735404,-0.707831239,0.811449211,2.60577E-09
PAK2,415.3295874,0.15075003,0.974797782,2.60577E-09
KIDINS220,415.4847703,-0.211145647,0.978955458,2.60577E-09
ERGIC1,415.5740262,-1.094970016,0.399782615,2.60577E-09
P2RY8.1,415.7431712,0.338781836,0.867047725,2.60577E-09
CLK3,415.8190598,-0.116240955,0.990271986,2.60577E-09
MARS1,416.2729408,-0.097185842,0.987643222,2.60577E-09
CNNM3,417.2396703,1.540914008,0.156237804,2.60577E-09
INTS1,417.8139986,0.080079523,0.992103006,2.60577E-09
WDR48,418.6875434,-0.747065247,0.752854787,2.60577E-09
SEPTIN1,419.6680188,0.249160153,0.997989793,2.60577E-09
HYOU1,420.100884,0.11952149,0.996473478,2.60577E-09
ENSG00000300755,420.9655965,-1.177997088,0.39650647,2.60577E-09
HNRNPF,421.0981196,0.17385902,0.999475217,2.60577E-09
SNHG22,421.3298728,0.380529407,0.993895596,2.60577E-09
ZNF644,421.3398577,-0.18968174,0.986675848,2.60577E-09
PARP4,421.436619,0.065850989,0.999731664,2.60577E-09
ARRDC2,421.5167935,0.019423405,0.999986167,2.60577E-09
SBDS,421.8125659,0.220201516,0.942355675,2.60577E-09
YES1,421.8368391,1.04661216,0.447202042,2.60577E-09
SPAG9,421.8992065,-0.573872409,0.91146874,2.60577E-09
PPP2R5A,421.9524103,-0.043462708,0.999782553,2.60577E-09
TENT2,422.2619122,-0.177328613,0.998836091,2.60577E-09
KPNA4,422.3324804,-0.304605246,0.998879812,2.60577E-09
CAND1,422.3709439,-0.036560312,0.999963723,2.60577E-09
TMED10,423.1769753,-0.037880695,0.999947367,2.60577E-09
ZNF687,423.5613644,0.027776234,0.999725211,2.60577E-09
XRCC6,423.6510132,0.031653302,0.999915489,2.60577E-09
DPP7,423.7241664,0.291831428,0.985837678,2.60577E-09
IK,423.7380508,0.72325812,0.735343316,2.60577E-09
NAA50,423.8398831,0.658775143,0.864847194,2.60577E-09
CLINT1,424.1843822,-0.142471073,0.996967332,2.60577E-09
RABL6,424.354644,0.36582774,0.997343942,2.60577E-09
SCFD1,424.5235422,-0.537981969,0.980489192,2.60577E-09
R3HDM2,424.6605494,-1.150498773,0.400398728,2.60577E-09
SKIC3,424.9565225,-0.200083298,0.991610569,2.60577E-09
BDP1,425.0316763,-0.306597259,0.996911188,2.60577E-09
MED12,425.389224,0.211968572,0.988086662,2.60577E-09
ENSG00000291233,425.5133473,-0.360309133,0.965937935,2.60577E-09
SMARCE1,425.8905158,-0.141364511,0.999940359,2.60577E-09
PLCL2,426.1203675,-0.646949466,0.803762181,2.60577E-09
AHCTF1,426.7370575,0.278082034,0.923667727,2.60577E-09
CS,427.7768821,-0.033374268,0.999992835,2.60577E-09
CCNY,427.7847148,-0.224864924,0.972575455,2.60577E-09
ITPR3,427.9097041,0.170386319,0.970309736,2.60577E-09
RBMS1,428.6024876,-0.088562158,0.999993228,2.60577E-09
WSB1,428.9330185,-0.495643137,0.972460194,2.60577E-09
SH2B3,429.1382742,-0.200111722,0.993863411,2.60577E-09
RNF126,429.353516,-0.164522578,0.999972998,2.60577E-09
PIEZO1,429.3692464,0.258789348,0.991164078,2.60577E-09
OAZ1,429.4491689,0.638887749,0.92270887,2.60577E-09
KDM5B,429.473158,-0.82180525,0.729212299,2.60577E-09
ACLY,430.3763544,0.190742707,0.95951637,2.60577E-09
RPS28,430.4365324,-0.803165144,0.694658577,2.60577E-09
PSMB4,430.4711524,0.122401621,0.999086084,2.60577E-09
UBA2,430.9526212,1.254698619,0.368985191,2.60577E-09
MTPN,431.10552,0.403996633,0.991199339,2.60577E-09
DNAH1,431.4365063,0.215572165,0.982478996,2.60577E-09
PIGT,432.5649854,0.526042188,0.973187128,2.60577E-09
SMARCA4,432.6919402,-0.198455674,0.99701506,2.60577E-09
ZFR,432.7064995,-0.020240836,0.998068037,2.60577E-09
TRAF1,432.7688096,0.120759192,0.976367816,2.60577E-09
OTUD5,432.7789255,0.132886755,0.995016401,2.60577E-09
GAPVD1,433.1482817,-0.321492301,0.983079131,2.60577E-09
GBP4,433.3155081,-0.418692515,0.948491035,2.60577E-09
GIGYF1,434.2200671,-0.703360885,0.754141668,2.60577E-09
ADNP,434.7260415,-0.383837328,0.99543096,2.60577E-09
ARHGEF2,434.8655694,0.297493128,0.95753017,2.60577E-09
TES,435.5314255,-0.088744199,0.996271703,2.60577E-09
KDM2B,435.9280744,0.787996275,0.753289937,2.60577E-09
MGAT1,435.9650765,0.510353792,0.975257382,2.60577E-09
MICAL1,436.2856006,-0.016147213,0.999890581,2.60577E-09
PNRC2,436.306866,0.576438535,0.84213768,2.60577E-09
NPLOC4,436.4530967,0.172482465,0.999616374,2.60577E-09
ZNFX1,436.4650102,0.362994942,0.985437135,2.60577E-09
TGFBR2,436.7330875,1.066312263,0.405358686,2.60577E-09
SRCAP,436.8048399,-0.015812006,0.999977889,2.60577E-09
ITPKB,436.9702359,0.651124568,0.853476577,2.60577E-09
SH2D1B,436.991541,0.730070669,0.67380606,2.60577E-09
TSC2,437.2118295,-0.080433016,0.999959754,2.60577E-09
PPP2CA,437.8149434,-0.034626296,0.999461605,2.60577E-09
HERC2,437.8866667,0.006408449,0.998266261,2.60577E-09
PPM1B,437.9092045,-0.045548716,0.999993022,2.60577E-09
MARK2,437.9933194,-0.093548691,0.999902168,2.60577E-09
BRPF1,438.0374784,-0.454633688,0.989086191,2.60577E-09
ENSG00000290879,438.3167038,-1.60143093,0.178786457,2.60577E-09
FBXW7,438.3254708,0.883613148,0.654458423,2.60577E-09
SLC35E2B,438.5640513,-0.165825097,0.995379539,2.60577E-09
LMBR1L,438.7898069,0.282138713,0.975357967,2.60577E-09
ARFGEF1,438.8518427,-0.391456617,0.985905733,2.60577E-09
UBXN7,439.2280651,0.364357485,0.97581765,2.60577E-09
XAB2,439.2645621,0.19720112,0.973995479,2.60577E-09
VPS51,439.3641565,0.041199489,0.999999922,2.60577E-09
ZFAND3,440.2148277,0.116183681,0.999999987,2.60577E-09
TAB2,440.6566611,-0.858325175,0.676136568,2.60577E-09
ATXN1,440.7121399,0.954874536,0.541852688,2.60577E-09
STAT5A,440.9963548,-0.132356859,0.99462028,2.60577E-09
TNIP1,441.2268501,-0.20119592,0.992538687,2.60577E-09
DDHD1,441.4204239,0.092567928,0.999927894,2.60577E-09
ATP10A,441.7933525,-0.020683864,0.999793073,2.60577E-09
RGS1,441.9749595,-0.092824143,0.972300782,2.60577E-09
ELMO2,442.3393242,-0.198500592,0.989759429,2.60577E-09
MAPRE1,442.3640487,0.284012178,0.993794868,2.60577E-09
FBXO11,443.0537979,-0.383981178,0.981490031,2.60577E-09
ATP6V0C,443.0928756,-0.337461615,0.973716996,2.60577E-09
ANKRD36,443.214467,0.022848627,0.99992695,2.60577E-09
DENND4C,443.363631,-0.506779926,0.982733143,2.60577E-09
RNF115,443.8539548,-0.28467831,0.978227192,2.60577E-09
TBK1,443.894797,-0.422046322,0.94475446,2.60577E-09
RBM4,443.895827,-0.199730034,0.998328386,2.60577E-09
DDX42,444.0974559,-0.421744307,0.955417575,2.60577E-09
SGSM2,444.4458027,0.259899147,0.974606619,2.60577E-09
CREBZF,444.5116701,-0.187635082,0.993650935,2.60577E-09
CDK9,444.5509611,-0.385922512,0.981542165,2.60577E-09
PLEKHM1,444.5890747,0.247352746,0.998762361,2.60577E-09
EIF3G,445.113882,-0.395877927,0.99120392,2.60577E-09
MARK3,445.1516444,-0.234959748,0.999992676,2.60577E-09
RBM14,445.4013443,0.067068246,0.999539525,2.60577E-09
CBX6,445.4514328,0.373506174,0.993136734,2.60577E-09
PCNX3,445.5579803,0.459034404,0.931078411,2.60577E-09
RALGAPA1,446.046799,0.66890327,0.724481873,2.60577E-09
DGKQ,446.0567515,0.529827409,0.882974637,2.60577E-09
SYNRG,446.1923362,-0.363060452,0.960081107,2.60577E-09
ANKRD17,446.8060745,0.071741959,0.999051968,2.60577E-09
SMC1A,446.8715289,0.652674713,0.79806352,2.60577E-09
TSPOAP1.AS1,447.0257571,-0.129031407,0.984756626,2.60577E-09
SEC31A,447.0382508,0.112826942,0.999999976,2.60577E-09
SNRPB,447.0992571,0.338268049,0.975513566,2.60577E-09
TNPO1,447.3466571,-0.293423785,0.992714907,2.60577E-09
TTLL3,447.502857,0.748974463,0.82394843,2.60577E-09
MAN1A2,448.2645658,0.168289436,0.997395077,2.60577E-09
MAU2,448.9592841,0.039052024,0.999469727,2.60577E-09
THRAP3,449.1093607,0.327418571,0.999783509,2.60577E-09
UBAP2L,449.7076454,-0.063118974,0.999863007,2.60577E-09
PSMD2,449.9328023,0.233612624,0.997707971,2.60577E-09
ZNF394,450.2618282,0.400077787,0.98957186,2.60577E-09
KLRF1,450.68972,-0.751137394,0.791924509,2.60577E-09
TNRC6C,451.6176431,-0.618263955,0.900102794,2.60577E-09
RPS13,451.6458827,-0.689191583,0.778513036,2.60577E-09
TSPAN32,452.0961412,-0.408494578,0.961054134,2.60577E-09
ZNF600,452.8737409,-0.423615754,0.953264971,2.60577E-09
CHD6,453.2164557,-0.190080969,0.985080495,2.60577E-09
MAPK1IP1L,453.2241529,0.510356817,0.884350011,2.60577E-09
KANSL3,453.4598208,-0.072203982,0.999886093,2.60577E-09
UBE2F,453.4808173,0.009447272,0.999789475,2.60577E-09
ARPC5L,453.9213213,0.009626824,0.999151911,2.60577E-09
CYCS,454.3080844,1.735146039,0.085979457,2.60577E-09
CDK16,454.3384957,0.495492794,0.909442756,2.60577E-09
PPP1R18,454.6344786,0.560016178,0.907078845,2.60577E-09
EIF3D,455.2682614,-0.164450456,0.998121674,2.60577E-09
BCL3,455.3919491,-0.62871916,0.712574874,2.60577E-09
SERPINB6,455.4573325,0.366289069,0.999922932,2.60577E-09
SPCS3,455.821946,0.22911277,0.999988443,2.60577E-09
KLRB1,455.8811722,0.659444981,0.798450536,2.60577E-09
RHBDF2,456.2687412,0.365011533,0.989919347,2.60577E-09
GRIPAP1,456.3890743,-0.111331699,0.993127457,2.60577E-09
STAT5B,456.4433977,0.687155281,0.878609769,2.60577E-09
RPS5,456.5477308,-0.857614726,0.636312801,2.60577E-09
CALCOCO1,456.8234302,-0.056561048,0.999844778,2.60577E-09
G6PD,456.8474865,0.284851984,0.999198846,2.60577E-09
CUX1,457.1904118,-0.260191575,0.997931078,2.60577E-09
COPB1,458.2895162,-0.039484287,0.999997659,2.60577E-09
GDI1,458.2996368,-0.201973184,0.990681828,2.60577E-09
PIK3C2A,458.3225418,-1.102870589,0.421363621,2.60577E-09
TIAL1,458.3326488,0.015032037,0.999152447,2.60577E-09
UBALD2,458.358557,0.39631106,0.905560924,2.60577E-09
DENND11,458.8936624,-0.790908778,0.773535205,2.60577E-09
FBXO3,459.318392,-0.386971805,0.950097867,2.60577E-09
FLOT2,459.5254169,0.318989529,0.916172623,2.60577E-09
C11orf21,459.6447554,-0.517301417,0.906594575,2.60577E-09
OS9,460.2942182,0.378276052,0.993330942,2.60577E-09
RAB7A,460.3967318,-0.160166489,0.999222738,2.60577E-09
SOS2,460.4758023,-0.247797968,0.993291512,2.60577E-09
TRAM1,461.359571,0.066454936,0.997673552,2.60577E-09
CCNH,461.3686688,0.61810528,0.855613158,2.60577E-09
PTPN18,461.4344091,0.927048333,0.587738334,2.60577E-09
RAB11FIP1,461.6156095,-0.16553612,0.99794107,2.60577E-09
NR1D2,461.682632,0.369760838,0.983468974,2.60577E-09
SAMHD1,461.9086359,-0.301071305,0.972280267,2.60577E-09
PKM,462.1131929,0.21046601,0.989278213,2.60577E-09
USP11,462.2081573,0.083447916,0.996708923,2.60577E-09
STARD7,462.3010365,-0.280059358,0.97527706,2.60577E-09
SBK1,463.0062106,1.468918041,0.051732469,2.60577E-09
JMY,463.3328825,0.487177885,0.969388256,2.60577E-09
MYADM,463.6854575,-1.4279194,0.201085479,2.60577E-09
FLII,463.9897032,-0.31585646,0.996436777,2.60577E-09
ABR,464.2031943,0.516734867,0.963334529,2.60577E-09
DHX38,464.249721,0.17591567,0.981092938,2.60577E-09
CLEC2B,464.3026438,-0.016585125,0.99841327,2.60577E-09
UBE3A,464.5173475,0.014490618,0.999995184,2.60577E-09
DYRK2,465.2058777,-0.404932137,0.994154251,2.60577E-09
MYO5A,465.2608587,0.71190278,0.822033714,2.60577E-09
AZIN1,465.6232061,-0.070838684,0.998837125,2.60577E-09
HMGN1,465.6678397,-0.336100186,0.991690993,2.60577E-09
DYNC1LI2,465.7174456,-0.608386017,0.884451868,2.60577E-09
PPTC7,466.0098597,-0.11761238,0.993506403,2.60577E-09
SELPLG,466.5233804,1.233172961,0.353167997,2.60577E-09
MAST3,466.5438279,0.710010738,0.758201,2.60577E-09
RBBP7,466.9354598,0.439514448,0.879430122,2.60577E-09
TSHZ1,467.4631574,0.427478965,0.994488818,2.60577E-09
LCK,467.5430762,0.577299154,0.903676559,2.60577E-09
USF3,467.7157518,0.141828357,0.998759909,2.60577E-09
VPS26B,468.1026599,1.226903093,0.18896439,2.60577E-09
ABCA7,468.2846797,-0.742389092,0.704659952,2.60577E-09
SNHG5,468.7926558,-0.171391574,0.933942993,2.60577E-09
ZDHHC18,469.3769163,-0.404912734,0.962016995,2.60577E-09
CLIP4,469.3775388,-0.401156252,0.97576621,2.60577E-09
MAP4,469.3877771,-0.761851881,0.762546058,2.60577E-09
EIF2S3,469.5642769,-0.361332054,0.942729483,2.60577E-09
SDCBP,469.9875497,1.150008457,0.346114698,2.60577E-09
TNRC6A,470.0026907,-0.360162116,0.936107389,2.60577E-09
ALKBH5,470.2105881,0.514771962,0.940440907,2.60577E-09
RPS6KA1,470.2310282,0.333529581,0.992340875,2.60577E-09
YWHAQ,470.401665,-0.149053473,0.999922961,2.60577E-09
CIB1,470.6697345,0.179140632,0.997700803,2.60577E-09
ITPR2,470.9669434,-0.242741908,0.972501078,2.60577E-09
KIF2A,471.0202676,0.115959394,0.973388019,2.60577E-09
TBC1D9B,471.4703815,0.117799203,0.999854227,2.60577E-09
SUB1,471.541658,0.094350169,0.995401825,2.60577E-09
OTULIN,471.5936565,0.008024402,0.997599761,2.60577E-09
PIM3,471.6836083,-1.077806321,0.460015992,2.60577E-09
IL16,471.9482822,-0.242252359,0.99600424,2.60577E-09
EPG5,472.4714036,1.209818711,0.234574657,2.60577E-09
UHRF2,473.1836755,0.373610315,0.895459932,2.60577E-09
KHDRBS1,473.4335953,-0.15949354,0.999126226,2.60577E-09
TNKS2,473.4907629,-0.378231974,0.999573917,2.60577E-09
DHX8,473.5042564,0.582160065,0.792725044,2.60577E-09
TC2N,474.0436877,-1.233214545,0.315408441,2.60577E-09
SERTAD2,474.7209772,0.111842478,0.992157867,2.60577E-09
C6orf62,474.9985609,0.294059307,0.997490259,2.60577E-09
CTDSP2,475.4891539,0.106454792,0.999804817,2.60577E-09
ARRB1,475.7082054,0.865597559,0.677116605,2.60577E-09
HLA.H,476.0975372,1.610865488,0.282711646,2.60577E-09
SPG11,476.2724486,0.069561757,0.997274672,2.60577E-09
ABCF1,477.0212869,-0.119162974,0.973777211,2.60577E-09
QARS1,477.5798074,0.186298615,0.982893267,2.60577E-09
PARP15,477.6167509,1.491747969,0.078760968,2.60577E-09
ERN1,478.0885838,1.148150742,0.266520069,2.60577E-09
EML3,478.3843645,0.047112898,0.99989829,2.60577E-09
CASC3,478.6729196,-0.050787988,0.996280671,2.60577E-09
MBTPS1,479.0117313,0.044502152,0.999921193,2.60577E-09
RFTN1,480.5445556,-0.159513323,0.999806404,2.60577E-09
GNB2,480.6169982,0.469408399,0.977779855,2.60577E-09
INTS6,480.7890339,0.998434443,0.501813117,2.60577E-09
RIF1,480.8637346,-0.4770355,0.994145017,2.60577E-09
DENND4A,480.9900781,-0.692851841,0.827868177,2.60577E-09
CTBP2,481.0708237,0.347587724,0.988545177,2.60577E-09
ATP5F1A,481.3274266,-0.311777181,0.997692553,2.60577E-09
EP400,481.6766257,-0.181578493,0.999896133,2.60577E-09
LDHA,481.9334624,0.002771976,0.999959079,2.60577E-09
GALNT10,481.970971,0.915229388,0.614306865,2.60577E-09
ZYX,482.0491885,0.390720995,0.99066405,2.60577E-09
PDXDC1,482.6901434,0.037645569,0.999981931,2.60577E-09
UBR2,482.8045334,-0.062113749,0.999966382,2.60577E-09
OPTN,483.3277351,-0.143005896,0.99924772,2.60577E-09
HDAC7,483.9920637,0.165290845,0.998526362,2.60577E-09
TARDBP,484.113421,-0.327509116,0.996949884,2.60577E-09
ANKRD13D,484.7202588,-0.033834491,0.999921533,2.60577E-09
RSF1,484.7961547,0.161581619,0.999913508,2.60577E-09
RPS26,485.1383667,-0.677154571,0.927396815,2.60577E-09
U2SURP,485.160681,-0.155235018,0.99843986,2.60577E-09
SH3BGRL3,485.1748543,0.902442637,0.637395158,2.60577E-09
CARINH,485.2371636,0.527484391,0.93599875,2.60577E-09
SIK3,487.1694139,-1.245061519,0.263959395,2.60577E-09
CIC,488.1371078,0.431955022,0.941425855,2.60577E-09
CD300A,488.1715153,-1.025836046,0.476719051,2.60577E-09
YPEL3,488.359141,0.32873901,0.960642263,2.60577E-09
POLR2B,488.4291162,-0.185807633,0.999932676,2.60577E-09
OTUD4,488.4924272,0.21055815,0.998327454,2.60577E-09
SDHA,488.5517721,0.326943049,0.992343296,2.60577E-09
SMAD7,488.8048452,0.306177925,0.904165846,2.60577E-09
KHNYN,489.3097517,0.313589387,0.958405374,2.60577E-09
CAPZA1,489.9164274,-0.123628905,0.998210285,2.60577E-09
CSNK1E,490.2545323,0.069980696,0.998791866,2.60577E-09
RHOF,490.3658459,0.282244733,0.987677043,2.60577E-09
MVP,490.4802246,0.13089235,0.999342869,2.60577E-09
ZMIZ2,491.5733344,-0.226966595,0.999220402,2.60577E-09
DNAJB1,491.6016717,1.122805132,0.366543062,2.60577E-09
HDLBP,491.9587887,0.092618435,0.999195875,2.60577E-09
KIF5B,492.1005748,-0.059759767,0.999623683,2.60577E-09
SLA,492.3221653,0.641400668,0.912064527,2.60577E-09
REXO1,492.8154723,0.675309316,0.80622145,2.60577E-09
SDF4,492.8992884,0.384729909,0.99431809,2.60577E-09
TRANK1,493.1212942,0.192991935,0.9979582,2.60577E-09
AP3B1,493.2340986,0.1315731,0.999909741,2.60577E-09
MARF1,493.3914807,-0.160609537,0.998893231,2.60577E-09
RAP2C,493.574838,0.998005069,0.501612784,2.60577E-09
GUK1,494.0650266,0.441393059,0.960844384,2.60577E-09
ARFGEF2,494.1387077,0.253989561,0.901812003,2.60577E-09
ZMYM2,494.2927943,-0.673989391,0.795303502,2.60577E-09
KHSRP,494.7974406,0.224217341,0.993691116,2.60577E-09
RNF4,494.9674093,0.401448068,0.992240465,2.60577E-09
TMEM181,495.0920762,0.50095163,0.959713442,2.60577E-09
NRBP1,495.3470348,0.572480828,0.943835523,2.60577E-09
LINC01145,495.7290894,-0.747234407,0.757468734,2.60577E-09
CAPNS1,495.8377797,0.485311984,0.966163916,2.60577E-09
PDS5A,496.034895,0.092465187,0.99974381,2.60577E-09
VPS13A,496.1110535,-0.730326647,0.870343867,2.60577E-09
UBTF,496.1859451,-0.312965512,0.999341683,2.60577E-09
ARL17A,496.3123543,-0.157822177,0.998911671,2.60577E-09
GSAP,496.3736727,0.874465578,0.68018657,2.60577E-09
SYNCRIP,496.5075017,-0.086289643,0.999998865,2.60577E-09
ZFP91,496.5492558,-0.019599438,0.99970562,2.60577E-09
HBP1,496.8820131,-0.117785467,0.99913448,2.60577E-09
KAT2B,496.9341204,0.5340876,0.839029575,2.60577E-09
GADD45B,496.9827428,0.95588378,0.528930389,2.60577E-09
ARID2,497.2589773,-0.078097656,0.999802363,2.60577E-09
PTPN6,497.3175553,1.042516851,0.46121614,2.60577E-09
APLP2,497.6549269,1.578807931,0.054799279,2.60577E-09
ARRB2,498.302735,0.562743411,0.972866305,2.60577E-09
GGNBP2,498.6841989,-0.004598612,0.999998292,2.60577E-09
ARID5A,499.5826977,0.015767613,0.999995901,2.60577E-09
TAX1BP1,499.8673721,-0.18969899,0.994446417,2.60577E-09
TAGAP,500.1032569,0.329033711,0.906307045,2.60577E-09
PGK1,500.1189359,-0.333595445,0.96028748,2.60577E-09
ZFAND6,500.5011711,-0.111414765,0.999909243,2.60577E-09
NPIPB12,500.6575575,-0.347011922,0.975474382,2.60577E-09
RPL9,500.7942868,-0.773814221,0.762684737,2.60577E-09
ENSG00000275993,501.0538064,-0.773200673,0.676383502,2.60577E-09
CALR,501.0737061,0.600816128,0.906365996,2.60577E-09
ZNF91,501.2057253,0.683408882,0.796039222,2.60577E-09
KAT7,501.540133,0.004586895,0.999993908,2.60577E-09
HNRNPR,501.7625349,-0.010756726,0.99999997,2.60577E-09
RHOT2,501.9017206,-0.168805015,0.994720997,2.60577E-09
ADAM10,502.2461368,0.565440957,0.860315853,2.60577E-09
SMARCC1,502.4009177,-0.149893614,0.999998389,2.60577E-09
ANKRD36C,502.5711002,0.005362735,0.999836736,2.60577E-09
MCM3AP,503.0187556,0.502613401,0.935911489,2.60577E-09
UPF1,503.2355231,0.186497625,0.999764065,2.60577E-09
CD96,504.1602824,-0.093854041,0.999983391,2.60577E-09
FAM168B,505.0836775,-0.163076215,0.999619748,2.60577E-09
LPGAT1,505.1974592,-0.301782502,0.999308328,2.60577E-09
PLEC,505.9099653,0.275524416,0.993166756,2.60577E-09
FOXO3,506.3119848,0.392298467,0.981415682,2.60577E-09
TAOK1,506.4546496,-0.19130513,0.974638269,2.60577E-09
STT3B,506.6291253,-0.466779374,0.954408907,2.60577E-09
ELF4,506.8018852,-0.170288798,0.999991121,2.60577E-09
EIF4EBP2,506.9989182,0.553955562,0.949831815,2.60577E-09
USP15,507.1451433,-0.610901209,0.964222734,2.60577E-09
KDM3B,507.1689862,-0.029928782,0.999998992,2.60577E-09
KMT2B,507.2347075,0.405783084,0.94455056,2.60577E-09
GPBP1,507.5382258,-0.339329384,0.965940083,2.60577E-09
MYLIP,507.6386029,0.266597939,0.998875716,2.60577E-09
SCAF8,507.9077642,-0.733918108,0.760167572,2.60577E-09
IL12RB2,508.5164484,-1.556609197,0.224420832,2.60577E-09
SAR1A,508.6802249,0.136542644,0.990503089,2.60577E-09
NDUFV1,509.230717,-0.175751702,0.999696172,2.60577E-09
AP1G2,509.3101423,-0.669681869,0.881436078,2.60577E-09
YLPM1,509.700557,-0.322201537,0.997843061,2.60577E-09
AMD1,509.7105911,0.272083038,0.964497695,2.60577E-09
HECTD4,509.8271784,-0.279685321,0.997266418,2.60577E-09
LINC00299,510.7798568,-0.697035028,0.744584777,2.60577E-09
ZNF451,510.8387626,-0.426426755,0.956022153,2.60577E-09
PPP1CB,511.2907434,-0.366564235,0.972691719,2.60577E-09
LRRC37A2,511.2968167,0.20920995,0.998506657,2.60577E-09
BMAL1,511.4253589,0.81212854,0.720865384,2.60577E-09
INO80D,511.7338074,0.043877027,0.992257529,2.60577E-09
LUC7L2,512.0834702,-0.526153624,0.976208967,2.60577E-09
YARS1,512.1027645,0.247068746,0.99856115,2.60577E-09
XPO1,513.2871679,-0.219012029,0.987603811,2.60577E-09
TRRAP,513.5357558,-0.219561839,0.999427978,2.60577E-09
NPIPA1,514.7863421,-0.215688407,0.998278623,2.60577E-09
UBR1,515.2455139,0.95366068,0.530723743,2.60577E-09
KPNA6,515.5096656,0.206666613,0.999228889,2.60577E-09
AP3D1,515.6989056,0.215761042,0.994061757,2.60577E-09
RPS10,515.9507554,-0.676384296,0.773937921,2.60577E-09
CTNNB1,516.1555521,-0.290062286,0.999797969,2.60577E-09
UBN1,516.2660217,0.053076665,0.999957955,2.60577E-09
ENSG00000293320,516.6115299,-0.793192448,0.630838909,2.60577E-09
XBP1,516.8362542,0.055652342,0.998521113,2.60577E-09
EIF3L,517.0234643,-0.552531721,0.926491601,2.60577E-09
TRPC4AP,517.2290273,0.362145448,0.981176589,2.60577E-09
GABARAPL1,517.6485937,0.013066745,0.99821544,2.60577E-09
H2AZ2,517.747939,0.062150599,0.999290612,2.60577E-09
CD226,518.2182758,0.048048287,0.996509594,2.60577E-09
VAV3,518.5964719,-0.302980274,0.98069031,2.60577E-09
BAP1,518.8365594,0.103859097,0.992094416,2.60577E-09
SIRT2,519.150418,0.534536321,0.966940641,2.60577E-09
TSPAN14,519.7364359,0.296619661,0.989205811,2.60577E-09
MAN2C1,519.9072996,0.034881319,0.999779295,2.60577E-09
PRKCSH,520.2821651,0.14183077,0.999163155,2.60577E-09
POGZ,520.4146691,0.052949775,0.9998245,2.60577E-09
NSD3,521.7890922,0.21111907,0.987676226,2.60577E-09
SURF4,521.8984403,0.589395297,0.889138238,2.60577E-09
ENO1,522.0160299,-0.223416568,0.99533583,2.60577E-09
AUP1,522.0703262,0.223283938,0.990941827,2.60577E-09
PAFAH1B1,522.3563324,0.097296172,0.999978932,2.60577E-09
CD81,522.5012575,0.320638896,0.99649296,2.60577E-09
MORF4L1,522.9334287,-0.314757135,0.991607487,2.60577E-09
SNHG1,523.3880467,0.235501892,0.973248726,2.60577E-09
UCP2,523.5978547,-0.552719812,0.907843932,2.60577E-09
RPL24,524.1797939,-0.391206547,0.930981286,2.60577E-09
DHX36,524.5069146,-0.283829936,0.999142037,2.60577E-09
