SYMBOL,baseMean,log2FoldChange,pvalue,padj
GZMB,1196.181166,1.761192187,0.012884488,0.290899321
LILRB1,149.8567945,2.87399288,0.013120417,0.288799879
XCL2,118.6980205,-2.746993129,0.013545887,0.278053109
PHOSPHO1,40.71858785,2.205238175,0.013955815,0.272509396
GRAP2,93.61791783,2.322230634,0.014103496,0.272509396
CD99.1,186.215981,2.644575051,0.014086745,0.272509396
ADCY3,42.31543575,-2.576033923,0.014356677,0.26584021
RHOBTB3,144.3727058,2.017322041,0.014501921,0.262524008
PDE4D,761.6243816,1.680812324,0.014961247,0.253177859
ENSG00000289159,42.97992638,4.766091269,0.015394314,0.242791546
INPP4B,56.06003359,-3.879801478,0.015560163,0.239252188
AMIGO1,39.22374675,-1.958461535,0.015745287,0.235151038
PYHIN1,390.8169383,1.788710885,0.015811436,0.234363092
CCL3L3,49.49484024,4.561428286,0.015876045,0.233622444
FUT8,89.3422506,-2.058950558,0.015927759,0.233238024
ARHGEF3,375.3754067,1.642585818,0.016056283,0.230773159
PSKH1,178.300498,2.71036922,0.016612996,0.219856438
ATP8B4,189.7771617,-2.009229464,0.016660135,0.219831089
ANKRD9,63.01644292,2.141739095,0.016866069,0.217522201
MAN1A1,285.5248828,1.959727618,0.016946465,0.216461086
SLC43A2,57.60100985,1.934115627,0.017466982,0.209298965
NBL1,59.59751672,-2.609913663,0.017451876,0.209298965
SEPTIN11,235.261471,-1.853320047,0.017418538,0.209298965
LTBP4,310.5171121,2.003766604,0.017628952,0.208248085
ANO8,57.93883085,1.853568302,0.018339013,0.195946543
NTNG2,84.95067521,2.14136387,0.018954336,0.184556254
CDKN1A,43.17358942,2.517751724,0.019129673,0.182306586
ENSG00000310191,37.98638519,-1.917353318,0.019369664,0.18089507
SLC43A3,47.00504839,2.889442713,0.020066021,0.168403745
ABI3,163.5976951,1.861247096,0.020501576,0.162846074
UAP1,180.3632957,2.065053083,0.020973142,0.155774737
LGALS1,77.00223499,1.95699057,0.021214887,0.15358444
ANK3,44.16342911,-2.1310224,0.021518432,0.149074649
GLIPR1,231.4409904,1.536531127,0.021690931,0.147635277
FAM169A,261.8537258,1.759813742,0.021975577,0.14336946
CENPE,38.6919752,-2.724940441,0.022078662,0.14323828
NUMBL,96.15111321,2.210403322,0.022130696,0.14323828
RBM41,107.8694641,-1.781995017,0.022251052,0.142943009
PALS2,57.65792222,-1.892114174,0.022632423,0.139166626
CHSY1,294.5985418,-2.49849232,0.022794302,0.136967757
VCL,475.6978204,2.029874876,0.023040131,0.133203651
DUSP8,382.8380711,3.157032578,0.023178331,0.131499116
WNT10B,41.07175151,2.336633354,0.02341708,0.130603955
MICAL3,71.68140218,-2.057041216,0.023398462,0.130603955
HLA.DMA,77.0457395,-2.149269575,0.023406226,0.130603955
TTC38,785.1952937,1.464324692,0.023464617,0.130603955
ENSG00000289439,58.6516382,4.703383919,0.024515741,0.118577293
MEGF8,255.2472666,-2.471419269,0.024626731,0.117483277
ENSG00000255641,69.4202455,-2.461624272,0.025640999,0.104267891
LRP1,45.35306211,3.110387999,0.026214037,0.099788377
KATNAL1,66.25417722,-1.955356037,0.026767377,0.093253731
ENPP4,131.5423813,1.765204452,0.026982337,0.09230252
BOK,37.16007793,2.551321987,0.027356511,0.087459192
MAN1C1,39.3915196,-1.93726032,0.028064318,0.080229122
CRTAM,70.99338638,-2.757364074,0.028548646,0.076909075
LYAR,79.03068287,1.839588292,0.028536029,0.076909075
GDPD5,163.8186919,2.459244067,0.028603496,0.076909075
MMP25.AS1,440.7326344,-1.690468797,0.028594719,0.076909075
ZFHX3,233.691115,-1.998093613,0.028824935,0.075195609
HLA.DRB5,45.57577819,-1.791352075,0.029277398,0.070061107
SLC19A2,53.6838069,-1.922213312,0.029420077,0.068762299
GSTO2,38.90292805,1.885214279,0.030679939,0.059390475
SLC16A6,72.84085712,2.192307677,0.030759921,0.059054434
MAP9,40.05931661,-2.176435517,0.03090434,0.058275754
GOLM1,116.23005,1.807785446,0.031096796,0.058275754
TARBP1,213.7709638,-1.952052186,0.031083006,0.058275754
ZNF487,60.26405645,-2.052730792,0.031367007,0.055304368
PRR5L,216.1742442,1.713858898,0.032000401,0.048189886
ASB1,119.4838544,1.743200462,0.032693141,0.041229872
GAB3,314.6024395,1.812970263,0.033256169,0.0370606
AFF3,96.90085158,-2.607602087,0.033610234,0.034325103
TRAF5,333.2775198,-1.888590685,0.034254902,0.030204448
TTC16,54.67167899,2.375544767,0.034724152,0.026575295
PLCH2,281.5726321,-2.007159744,0.034924911,0.025584861
PTGER4,350.3374014,1.696700243,0.03519841,0.024061408
CRNDE,42.39677815,3.162433701,0.035568826,0.022905773
ZNF683,52.07053283,2.537389069,0.035929269,0.021501556
LINGO2,66.23828101,2.059129526,0.037114824,0.011092397
MCUB,80.06417465,-1.932984434,0.037647085,0.008567225
KCNQ1OT1,100.9720488,2.083302716,0.038043849,0.006194697
C17orf107,46.81328968,2.187848433,0.038594657,0.00174171
CARD16,87.60306902,1.876686842,0.038622467,0.00174171
SNX2,156.6819755,-1.88750695,0.038628434,0.00174171
KLRC3,41.06377817,-2.965575057,0.038844082,4.47755E-05
LINC02980,36.11162883,-0.385808016,0.962881256,2.60577E-09
NDUFB1,36.11867371,-0.470630696,0.844067199,2.60577E-09
RBMX2,36.11997097,-0.43767483,0.945263278,2.60577E-09
NECTIN1,36.13560583,1.398066746,0.317838354,2.60577E-09
RAB40C,36.13786693,0.214074843,0.982038854,2.60577E-09
PDRG1,36.14086582,0.648409263,0.81815395,2.60577E-09
CEP162,36.14195907,-0.145119077,0.933023308,2.60577E-09
ENSG00000302895,36.16753713,-1.271464272,0.664180752,2.60577E-09
NAA80,36.1853693,-0.242433467,0.937479046,2.60577E-09
RHBDD3,36.20865062,0.271197314,0.971808506,2.60577E-09
DNAAF2,36.2165418,-0.288879524,0.944389619,2.60577E-09
ZFP41,36.23611023,-0.021031566,0.992201879,2.60577E-09
ENSG00000272501,36.24397521,0.046968907,0.98818695,2.60577E-09
ZMYM1,36.24849364,0.062098149,0.976130614,2.60577E-09
DUOX1,36.25632861,0.766470329,0.633477773,2.60577E-09
ZNF397,36.27812368,0.745421122,0.718543551,2.60577E-09
LINC00921,36.28343328,-0.327264086,0.931234379,2.60577E-09
MPDU1,36.28807968,0.650213785,0.711571203,2.60577E-09
NDUFAF6,36.28902966,-0.152223456,0.963948798,2.60577E-09
SLC27A4,36.30885047,0.751000286,0.657554654,2.60577E-09
PRR29,36.31368524,0.986550512,0.512933519,2.60577E-09
CEP128,36.32228773,0.576775046,0.757396451,2.60577E-09
ENSG00000289191,36.33565408,0.305874158,0.945014487,2.60577E-09
LINC00294,36.3578654,-0.374145961,0.969711831,2.60577E-09
RECK,36.37347473,0.190431093,0.980097703,2.60577E-09
CYP2T1P.1,36.37686746,-0.144775457,0.969003659,2.60577E-09
ENSG00000283761,36.40458763,0.18608224,0.969930498,2.60577E-09
ARL15,36.4156806,1.067444636,0.475655888,2.60577E-09
POC5,36.42758427,-0.320461055,0.900721709,2.60577E-09
RAB12,36.43117239,-0.624980001,0.735911904,2.60577E-09
FICD,36.44124276,0.249779091,0.94181214,2.60577E-09
MRPS35,36.48455809,0.31085522,0.88685235,2.60577E-09
CASP9,36.50102128,0.314101949,0.960965418,2.60577E-09
SIRT5,36.51487623,-0.540980494,0.808188198,2.60577E-09
DUSP8P5,36.54965333,0.062034709,0.991237633,2.60577E-09
DUS4L.BCAP29,36.55227672,-0.566770972,0.73286653,2.60577E-09
RIOX1,36.57251929,0.397700384,0.929602649,2.60577E-09
THOC6,36.57983569,0.10826705,0.986695665,2.60577E-09
CFDP1,36.58951997,0.174355726,0.94768692,2.60577E-09
DGUOK,36.59186042,0.379034363,0.935672734,2.60577E-09
ZXDA,36.61167103,0.323902999,0.936548127,2.60577E-09
KLHL25,36.61738622,-0.172903717,0.958419962,2.60577E-09
ST7L,36.63002886,-0.305386307,0.897840867,2.60577E-09
TATDN2P2,36.68048141,0.640037984,0.768477643,2.60577E-09
ZNF180,36.68527507,0.055269758,0.981323751,2.60577E-09
ENSG00000261790,36.71803717,0.520628793,0.779105804,2.60577E-09
ENSG00000289443,36.72141668,-0.444557231,0.878294005,2.60577E-09
ENSG00000259529,36.72561484,0.183875477,0.937029174,2.60577E-09
ENSG00000266171,36.73312015,0.944161854,0.535834853,2.60577E-09
AVPI1,36.78542868,0.93847525,0.544260011,2.60577E-09
LINC01934,36.79247565,1.555396581,0.224333043,2.60577E-09
ENSG00000267469,36.79306753,-0.297356585,0.856724557,2.60577E-09
SMG8,36.7987284,0.389148129,0.89884442,2.60577E-09
SREBF2.AS1,36.87244143,1.886921813,0.094173978,2.60577E-09
PGCKA1,36.87542022,-1.005574607,0.49566527,2.60577E-09
STK32C,36.87633747,0.971757214,0.520639961,2.60577E-09
CDADC1,36.87665574,-0.119686281,0.978487423,2.60577E-09
STX18.AS1,36.88009853,0.726457314,0.691300558,2.60577E-09
RMND5B,36.88576942,0.459630592,0.852673347,2.60577E-09
ACADM,36.91589757,0.015149564,0.994371166,2.60577E-09
MAIP1,36.92170794,-0.032919575,0.986156003,2.60577E-09
TTC32,36.92386739,-0.746935271,0.745769619,2.60577E-09
ENSG00000292979,36.92861775,-0.129412637,0.956565353,2.60577E-09
ENSG00000250362,36.93176822,-0.411088998,0.842568763,2.60577E-09
ENSG00000280069,36.94767823,-0.437538465,0.918419394,2.60577E-09
MRPL43,36.9546751,-0.246387827,0.975825072,2.60577E-09
ZNF821,36.973015,1.121612207,0.416472404,2.60577E-09
CDC37L1,36.97617835,0.15212445,0.979842948,2.60577E-09
TMCO6,37.0023341,-0.203266046,0.941086409,2.60577E-09
PHF23,37.00703792,0.609355812,0.831005421,2.60577E-09
NDUFA6.DT,37.01775926,-0.206448707,0.951750116,2.60577E-09
GTF2I.AS1,37.04149649,-0.553472773,0.8466882,2.60577E-09
NOTCH2NLB,37.05030436,-1.295714329,0.350895502,2.60577E-09
RNF5,37.06161943,0.132291734,0.991154415,2.60577E-09
CHMP6,37.07493453,-0.341915207,0.932716817,2.60577E-09
ENSG00000285639,37.07636942,-1.022137474,0.518126335,2.60577E-09
ENSG00000305971,37.09668431,0.829514834,0.728935352,2.60577E-09
SERGEF,37.10909099,0.131705342,0.9811944,2.60577E-09
BORCS8,37.13388874,0.139202655,0.957404437,2.60577E-09
ENSG00000301067,37.13445396,1.155381188,0.382661773,2.60577E-09
LSM6,37.13642569,-0.01026232,0.998139143,2.60577E-09
DAD1,37.13655679,0.051035267,0.993364063,2.60577E-09
ASF1A,37.14555584,0.33873018,0.874101536,2.60577E-09
SAYSD1,37.15916147,0.501363963,0.840205641,2.60577E-09
ENSG00000285879,37.16843808,-0.567858689,0.855601409,2.60577E-09
CCDC71L,37.23791464,0.431608084,0.924898624,2.60577E-09
ZNF480,37.2526849,-0.22773518,0.955523605,2.60577E-09
NAGA,37.30122073,1.409728439,0.181137595,2.60577E-09
ZNF677,37.30711468,-0.258253118,0.953443592,2.60577E-09
TCEANC2,37.31048531,0.528786795,0.818915707,2.60577E-09
CELSR3,37.31157372,0.292161314,0.873509498,2.60577E-09
TMEM91,37.34477572,-0.302024549,0.871985583,2.60577E-09
NOC3L,37.36936312,0.05907443,0.990757924,2.60577E-09
ENSG00000291147,37.37004386,0.991737195,0.506946361,2.60577E-09
NCAPG2,37.38400192,0.354866143,0.888409792,2.60577E-09
AMOT,37.38476249,-0.780492318,0.647424096,2.60577E-09
PPP3CB.AS1,37.40486839,-0.413389037,0.895781288,2.60577E-09
ENSG00000250138,37.49958405,0.412578277,0.800281018,2.60577E-09
COX14,37.53185829,0.703746658,0.703718574,2.60577E-09
TYMS,37.59521032,0.59639566,0.72567719,2.60577E-09
ENSG00000260257,37.59859226,-0.43186879,0.921251783,2.60577E-09
ENSG00000254910,37.61154296,-0.350028829,0.935465644,2.60577E-09
HCG25,37.6137217,-0.101557207,0.981391127,2.60577E-09
WDR18,37.62572861,-0.363214244,0.88167686,2.60577E-09
PALB2,37.63090861,-0.483988883,0.906253332,2.60577E-09
MOCS2,37.63387688,-0.125745553,0.97610641,2.60577E-09
MICA,37.64665023,0.7816981,0.66878553,2.60577E-09
GALK2,37.64676682,-0.134734872,0.969669252,2.60577E-09
ENDOD1,37.66791714,0.495572676,0.865845982,2.60577E-09
UPRT,37.67559954,0.704932172,0.778535028,2.60577E-09
REM2,37.69111435,0.749762522,0.662933895,2.60577E-09
LSM3,37.69497796,0.794258467,0.64970992,2.60577E-09
DEXI,37.70106813,0.206744423,0.914606111,2.60577E-09
KALRN,37.70405304,0.897528365,0.568332641,2.60577E-09
NDUFB5,37.70645471,0.203716987,0.905623004,2.60577E-09
CUTC,37.70702562,-0.300127063,0.97905632,2.60577E-09
B3GALNT2,37.71450666,-0.376852192,0.938290932,2.60577E-09
FXN,37.7342554,0.281683875,0.886753531,2.60577E-09
FAM114A2,37.73706271,-0.207462796,0.930074857,2.60577E-09
ENSG00000290762,37.73950744,0.097671437,0.953321451,2.60577E-09
PTPRC.AS1,37.74022805,0.022820248,0.992740724,2.60577E-09
HAUS7,37.75404737,-0.39082305,0.963843393,2.60577E-09
TNFSF10,37.75876225,-1.493166217,0.191753525,2.60577E-09
DCAF4,37.77709156,-0.613355619,0.826955092,2.60577E-09
CHLSN,37.79754682,1.401645402,0.19142878,2.60577E-09
C19orf25,37.80609022,-0.328683609,0.968368468,2.60577E-09
AP2S1,37.81235413,0.440320596,0.890664789,2.60577E-09
ENSG00000232043,37.81690992,-0.006923251,0.999555972,2.60577E-09
NR1D1,37.82931558,1.463413653,0.235566978,2.60577E-09
ENSG00000274370,37.8353082,0.849426239,0.592409589,2.60577E-09
GATD1,37.83830498,-1.469538179,0.16465919,2.60577E-09
FBXL19,37.86236814,1.005747623,0.497881046,2.60577E-09
OCEL1,37.87644177,0.774827042,0.643502932,2.60577E-09
NOL12,37.88473894,-0.570047396,0.815351101,2.60577E-09
NUDT19,37.89986632,-0.655557512,0.736171273,2.60577E-09
MFAP1,37.90473164,0.189929436,0.971447012,2.60577E-09
ENSG00000272173,37.91318162,1.260914584,0.403392908,2.60577E-09
