age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69.measurement..log10.,CD25.measurement..log10.,CD44.measurement..log10.,CD62L.measurement..log10.,sorting.plate.well,sequencing.plate.well,stimulus,time,sizeFactor
11.5,2,OK,pass,OK,0,0.778151250383644,0.845098040014257,2.84385542262316,Plate 3 F2,Plate 3 F2,NA,NA,0.3341720883003214
11.5,2,OK,pass,OK,1.17609125905568,0.845098040014257,1.51851393987789,3.02325245963371,Plate 3 F3,Plate 3 F3,NA,NA,0.4030622973229977
11.5,2,OK,pass,OK,0.698970004336019,1.04139268515823,0,3.21245396104028,Plate 3 F4,Plate 3 F4,NA,NA,0.28731014828816964
11.5,2,OK,pass,OK,0.903089986991944,1.11394335230684,1.43136376415899,2.90848501887865,Plate 3 F5,Plate 3 F5,NA,NA,0.339940752523184
11.5,2,OK,pass,OK,0.301029995663981,1.14612803567824,1.34242268082221,3.1102529173534,Plate 3 F6,Plate 3 F6,NA,NA,0.2817715089874071
11.5,2,OK,pass,OK,0.954242509439325,0.954242509439325,0,3.11660774398825,Plate 3 F7,Plate 3 F7,NA,NA,0.39373501224646934
11.5,2,OK,pass,OK,0.778151250383644,1.04139268515823,0,2.65127801399814,Plate 3 F8,Plate 3 F8,NA,NA,0.24559896241402335
11.5,2,OK,pass,OK,0.778151250383644,0.845098040014257,0,3.1152775913959,Plate 3 F9,Plate 3 F9,NA,NA,0.3242674857722478
11.5,2,OK,pass,OK,0.602059991327962,1.11394335230684,0.778151250383644,2.46982201597816,Plate 3 F10,Plate 3 F10,NA,NA,0.290471863393898
11.5,2,OK,pass,OK,0.602059991327962,1.14612803567824,1.04139268515823,3.28735377271475,Plate 3 F11,Plate 3 F11,NA,NA,0.3840333728849546
11.5,2,OK,pass,OK,0.301029995663981,0.778151250383644,0.301029995663981,2.78532983501077,Plate 3 F12,Plate 3 F12,NA,NA,0.3113635386716928
11.5,2,OK,pass,OK,2.64443858946784,1.36172783601759,1.90308998699194,2.19312459835446,Plate 3 G1,Plate 3 G1,peptide N4,3,0.3508601708840521
