age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69transcript,CD25transcript,Cd44transcript,Cd62ltranscript,PC1,PC2,TSNE1,TSNE2,UMAP1,UMAP2
11.5,2,OK,pass,OK,1.38,0.7,1.34,2.8,Plate 2 H3,Plate 2 H3,NP68,6,0.23323625042429205,7.63,0,0,4.18,-27.822188646437535,-10.049964449138049,2.897126386751171,-8.267669996816064,-3.895136711075655,-0.7335863370152023
11.5,2,OK,pass,OK,0.85,1.23,0,3.38,Plate 2 H4,Plate 2 H4,NP68,6,0.23867566328807024,8.84,0,0,4.15,-42.741746831619274,-6.818299794958161,2.150248723754342,-7.170191988515387,-3.6614001364258444,-0.1358660716267135
11.5,2,OK,pass,OK,0.7,1.18,1.26,3.22,Plate 2 H5,Plate 2 H5,NP68,6,0.31780874678308507,8.29,0,2.05,2.05,-41.49568269881869,-3.3963385543941396,-0.1553745720799626,-6.647520250682776,-3.4106013149765646,-0.20242145244794152
11.5,2,OK,pass,OK,0,1.3,0,3.34,Plate 2 H6,Plate 2 H6,NP68,6,0.4305074277343494,8.36,1.73,0,3.36,-44.65238210643263,-8.173045205293578,0.16534074397269108,-8.177485731144055,-4.103628449961296,-0.9836707371922042
11.5,2,OK,pass,OK,1.11,1.08,1.18,3.13,Plate 2 H7,Plate 2 H7,NP68,6,0.6528874038940362,8.48,2.02,1.34,2.83,-41.43188356321945,-6.807499521659495,-1.0824897461252894,-8.429052480414846,-4.304366913512102,-0.8632803220005538
11.5,2,OK,pass,OK,0.48,1.2,0,3.33,Plate 2 H8,Plate 2 H8,NP68,6,0.7237621416563995,9.73,0,1.25,1.91,-41.44633793206954,-5.858685191871029,2.8609226245968165,-8.988874186726143,-4.205035258903853,-0.5711759585590865
11.5,2,OK,pass,OK,1,1.86,0.3,3.36,Plate 2 H9,Plate 2 H9,NP68,6,2.0340246905717185,9.04,8.22,0,1.31,-15.1641430639836,-15.035475657130494,-1.827718513212031,-3.8631566797547365,-2.1206957668808615,-0.7349951523991134
11.5,2,OK,pass,OK,0.7,0.85,1.46,3.35,Plate 2 H10,Plate 2 H10,NP68,6,1.5636733380955643,9.63,0,0,1.55,-54.115802820336015,-9.328184106612317,1.2400019651094034,-7.4971360726777325,-3.747815188839785,-0.3304703492374923
11.5,2,OK,pass,OK,1.83,1,1.04,1.2,Plate 2 H11,Plate 2 H11,NP68,6,0.32392019324280263,3.36,8.07,0,10.17,-3.6740096789245347,15.073108536169547,2.278608341255947,-14.416037544447521,-8.767910894825807,-2.3503583628387954
11.5,2,OK,pass,OK,0.48,0.78,1.51,2.96,Plate 3 A1,Plate 3 A1,G4,6,0.47777529407961905,9.24,4.31,2.37,4.45,-26.14241494705041,1.207742300778522,1.682967215067432,-4.786127192859136,-3.0542024940994894,-0.056005026742985464
11.5,2,OK,pass,OK,2.38,1.88,0.7,2.68,Plate 3 A2,Plate 3 A2,G4,6,0.5304690424108962,5.41,6.07,0,9.75,25.42800992183022,-1.3332556002395841,-1.0743985316764832,4.010203972934151,3.25634724192346,0.41242477710528114
11.5,2,OK,pass,OK,1.28,0.7,0,3.16,Plate 3 A3,Plate 3 A3,G4,6,0.39237741417682,8.15,0,0,4.03,-37.78471978145301,-1.375213001117326,1.7734522081759654,-5.8699907867521155,-3.2145280212906515,-0.3034376162739303
