age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69,Il2ra (CD25),Cd44,Sell (CD62L)
25,1,OK,pass,OK,3.19,2.37,1.86,2.59,Plate 3 F9,Plate 3 F9, N4,6,4.862492317980821,5.01,6.37,7.48,9.98
25,1,OK,pass,OK,3.07,2.66,0.78,1.57,Plate 3 F10,Plate 3 F10, N4,6,1.1887687974131693,0,7.53,4.8,8.86
25,1,OK,pass,OK,3.18,2.3,1.8,1.61,Plate 3 F11,Plate 3 F11, N4,6,2.211640012773695,0.93,6.6,0.54,9.47
25,1,OK,pass,OK,3.33,2.56,2.54,2.04,Plate 3 F12,Plate 3 F12, N4,6,0.7889088078292118,4.91,7.23,6.51,9.53
25,1,OK,pass,OK,0,0.6,1.08,3.38,Plate 3 G1,Plate 3 G1, T4,6,0.40760867225391684,9.22,3.73,3.06,6.17
25,1,OK,pass,OK,2.78,2.25,1.78,3.57,Plate 3 G2,Plate 3 G2, T4,6,0.6138147391851555,7.36,5.64,7.19,7.78
25,1,OK,pass,OK,2.13,0.85,3.03,1.96,Plate 3 G3,Plate 3 G3, T4,6,1.2100663990240819,0,2.11,8.24,4.64
25,1,OK,pass,OK,2.78,1.23,0,2.41,Plate 3 G4,Plate 3 G4, T4,6,0.7956832672996884,5.72,4.12,2.25,9.86
25,1,OK,pass,OK,2.53,0.78,1.87,2.67,Plate 3 G6,Plate 3 G6, T4,6,1.4306783404884111,1.63,4.03,1.92,10.77
25,1,OK,pass,OK,2.68,0.6,1.26,3.23,Plate 3 G7,Plate 3 G7, T4,6,1.6309443520783595,8.25,7.43,1.15,10.53
25,1,OK,pass,OK,3.04,2.47,2.35,2.03,Plate 3 G8,Plate 3 G8, T4,6,1.6231054635565965,5.74,6.64,5.82,8.19
25,1,OK,pass,OK,3,2.37,2.55,2.72,Plate 3 G9,Plate 3 G9, T4,6,7.719812287089416,0.18,5.96,8.75,9.44
25,1,OK,pass,OK,3.2,2.06,1.78,2.73,Plate 3 G10,Plate 3 G10, T4,6,2.7183804058675625,0.8,8.02,7.24,9.61
25,1,OK,pass,OK,3.1,2.31,0,2.89,Plate 3 G11,Plate 3 G11, T4,6,4.219365187251972,0.31,6.85,1.41,9.34
25,1,OK,pass,OK,2.85,1.79,0,2.57,Plate 3 H1,Plate 3 H1, T4,6,1.379373762274915,0.79,7.09,0.79,9.86
25,1,OK,pass,OK,3.08,2.27,1.28,2.5,Plate 3 H2,Plate 3 H2, T4,6,0.8732422586807242,5.44,7.82,1.72,7.32
25,1,OK,pass,OK,2.94,1.04,1.45,2.89,Plate 3 H3,Plate 3 H3, T4,6,1.137807001436528,3.29,5.65,2.17,10.14
25,1,OK,pass,OK,2.85,0.85,1.65,3.13,Plate 3 H4,Plate 3 H4, T4,6,0.830710199555162,8.02,5.69,6.91,9.31
25,1,OK,pass,OK,2.92,2.03,1.61,2.08,Plate 3 H5,Plate 3 H5, T4,6,1.3806231133223996,1.67,1.29,0.79,9.8
25,1,OK,pass,OK,3.17,2.46,2.18,3.01,Plate 3 H6,Plate 3 H6, T4,6,1.0088802877457332,0.99,4.8,7.22,6.72
25,1,OK,pass,OK,3.1,1.52,0,2.12,Plate 3 H8,Plate 3 H8, T4,6,1.9460920262332282,5.21,6.49,0,10.4
25,1,OK,pass,OK,2.7,1.62,0,3.39,Plate 3 H9,Plate 3 H9, T4,6,1.927040550332234,6.06,5.41,2.04,10.4
25,1,OK,pass,OK,2.84,2.03,0,3.13,Plate 3 H10,Plate 3 H10, T4,6,1.6992888156976222,6.09,7.29,1.12,10.16
25,1,OK,pass,OK,3.13,2.63,1.46,2.37,Plate 3 H11,Plate 3 H11, T4,6,3.81004260381378,1.21,7.13,7.66,9.82
25,1,OK,pass,OK,2.99,2.11,0,2.87,Plate 4 A1,Plate 4 A1, T4,6,0.7968965360064515,1.81,7.69,1.17,8.02
25,1,OK,pass,OK,2.15,1.73,1.11,3.29,Plate 4 A2,Plate 4 A2, T4,6,0.40426203515199033,7.56,1.8,1.8,1.8
25,1,OK,pass,OK,3.04,2.31,0,2.43,Plate 4 A3,Plate 4 A3, T4,6,1.5241857264683853,0,5.34,0.73,9.49
25,1,OK,pass,OK,2.81,2.31,1.6,2.77,Plate 4 A4,Plate 4 A4, T4,6,0.8960643391871235,3.31,6.88,6.11,9.26
25,1,OK,pass,OK,3.23,2.44,2.28,2.06,Plate 4 A5,Plate 4 A5, T4,6,0.9656581538538707,0,5.72,4.69,8.34
25,1,OK,pass,OK,3.34,2.27,1.71,2.51,Plate 4 A6,Plate 4 A6, T4,6,0.8840895123601492,3.33,5.17,1.71,8.6
25,1,OK,pass,OK,2.85,2.16,1.89,2.87,Plate 4 A7,Plate 4 A7, T4,6,1.8353508122661093,4.29,7.04,2.09,8.35
